Column1;State;Year;Rape;Kidnap and assault;Dowry deaths;Assault on women;Assault on modesty;Domestic violence;Women trafficking;Population;;;;;;;;;;;
167;Uttarakhand;2005;133;125;63;100;89;272;0;9127800;;;;;;;;;;;
168;West Bengal;2005;1686;1039;446;1572;54;6936;61;84616000;;;;;;;;;;;
169;Andaman & Nicobar;2005;4;1;0;11;1;5;0;366000;;;;;;;;;;;
170;Chandigarh;2005;33;45;3;31;9;75;0;962600;;;;;;;;;;;
171;Dadra and Nagar Haveli and Daman and Diu;2005;7;11;1;6;0;8;0;269600;;;;;;;;;;;
172;Delhi;2005;658;1106;114;762;225;1324;1;15025800;;;;;;;;;;;
173;Lakshadweep;2005;0;0;0;0;0;0;0;62200;;;;;;;;;;;
174;Puducherry;2005;6;3;4;60;26;6;0;1083600;;;;;;;;;;;
175;Andhra Pradesh;2006;1049;1329;519;4534;2411;9164;0;77145905;;;;;;;;;;;
176;Arunachal Pradesh;2006;37;51;1;63;2;14;0;1241000;;;;;;;;;;;
177;Assam;2006;1244;1544;105;1290;10;2548;0;28931000;;;;;;;;;;;
178;Bihar;2006;1232;1084;1188;530;53;1689;42;93504450;;;;;;;;;;;
179;Chhattisgarh;2006;995;178;103;1598;143;717;1;23189500;;;;;;;;;;;
180;Goa;2006;21;10;0;18;7;14;0;1403500;;;;;;;;;;;
181;Gujarat;2006;354;945;50;736;138;4977;0;55555500;;;;;;;;;;;
182;Haryana;2006;608;431;255;486;491;2254;0;23248000;;;;;;;;;;;
183;Himachal Pradesh;2006;113;109;3;275;31;259;0;6471500;;;;;;;;;;;
184;Jammu & Kashmir;2006;250;723;10;960;347;135;0;11342500;;;;;;;;;;;
185;Jharkhand;2006;799;410;281;414;44;668;5;29967000;;;;;;;;;;;
186;Karnataka;2006;400;328;244;1683;38;2129;0;56973000;;;;;;;;;;;
187;Kerala;2006;601;202;25;2543;222;3708;0;32623500;;;;;;;;;;;
188;Madhya Pradesh;2006;2900;617;764;6243;762;2989;0;66487500;;;;;;;;;;;
189;Maharashtra;2006;1500;921;387;3479;984;6738;1;104626500;;;;;;;;;;;
190;Manipur;2006;40;79;0;42;0;10;0;2575000;;;;;;;;;;;
191;Meghalaya;2006;74;25;6;57;0;13;0;2643000;;;;;;;;;;;
192;Mizoram;2006;72;1;0;51;0;1;0;993000;;;;;;;;;;;
193;Nagaland;2006;23;3;0;3;2;3;0;1984500;;;;;;;;;;;
194;Odisha;2006;985;577;457;2415;247;694;12;39389500;;;;;;;;;;;
195;Punjab;2006;442;418;130;314;60;801;2;26051000;;;;;;;;;;;
196;Rajasthan;2006;1085;1553;394;2582;31;7038;3;62527500;;;;;;;;;;;
197;Sikkim;2006;20;7;0;14;0;6;0;576000;;;;;;;;;;;
198;Tamil Nadu;2006;457;718;187;1179;852;1248;0;67276500;;;;;;;;;;;
199;Telangana;2006;;;;;;;;;;;;;;;;;;;
200;Tripura;2006;189;62;35;207;0;471;0;3436500;;;;;;;;;;;
201;Uttar Pradesh;2006;1314;2551;1798;2096;2714;5204;0;183005000;;;;;;;;;;;
202;Uttarakhand;2006;147;183;80;153;113;358;0;9287500;;;;;;;;;;;
203;West Bengal;2006;1731;1199;445;1837;63;7414;1;85726000;;;;;;;;;;;
204;Andaman & Nicobar;2006;6;5;0;14;4;7;0;368500;;;;;;;;;;;
205;Chandigarh;2006;19;57;10;20;13;102;0;978000;;;;;;;;;;;
206;Dadra and Nagar Haveli and Daman and Diu;2006;9;15;1;7;1;7;0;282000;;;;;;;;;;;
207;Delhi;2006;623;1066;137;718;144;1728;0;15319500;;;;;;;;;;;
208;Lakshadweep;2006;0;0;0;0;0;1;0;62500;;;;;;;;;;;
209;Puducherry;2006;9;13;3;56;39;19;0;1111000;;;;;;;;;;;
210;Andhra Pradesh;2007;1070;1564;613;4406;3316;11335;0;77333086;;;;;;;;;;;
211;Arunachal Pradesh;2007;48;44;0;72;1;20;0;1269600;;;;;;;;;;;
212;Assam;2007;1437;1471;100;789;10;3000;0;29386000;;;;;;;;;;;
213;Bihar;2007;1555;1260;1172;853;12;1635;56;95605540;;;;;;;;;;;
214;Chhattisgarh;2007;982;181;100;1549;111;824;0;23660600;;;;;;;;;;;
215;Goa;2007;20;7;2;20;7;14;0;1414600;;;;;;;;;;;
216;Gujarat;2007;316;1089;42;822;120;5827;0;56532400;;;;;;;;;;;
217;Haryana;2007;488;554;269;417;409;2412;0;23668600;;;;;;;;;;;
218;Himachal Pradesh;2007;159;150;8;322;33;342;0;6550200;;;;;;;;;;;
219;Jammu & Kashmir;2007;288;707;9;986;353;176;0;11582200;;;;;;;;;;;
220;Jharkhand;2007;855;534;303;342;15;801;0;30571200;;;;;;;;;;;
221;Karnataka;2007;436;390;251;1828;28;2507;0;57797400;;;;;;;;;;;
222;Kerala;2007;512;177;27;2624;262;3999;0;32780000;;;;;;;;;;;
223;Madhya Pradesh;2007;3010;701;742;6772;780;3294;0;67715400;;;;;;;;;;;
224;Maharashtra;2007;1451;967;436;3306;1039;7356;0;106176000;;;;;;;;;;;
225;Manipur;2007;20;83;0;70;0;15;0;2631200;;;;;;;;;;;
226;Meghalaya;2007;82;22;2;45;1;19;0;2707800;;;;;;;;;;;
227;Mizoram;2007;83;0;0;66;0;2;0;1013800;;;;;;;;;;;
228;Nagaland;2007;13;6;0;8;1;0;0;1983400;;;;;;;;;;;
229;Odisha;2007;939;660;461;2775;241;728;0;39906400;;;;;;;;;;;
230;Punjab;2007;519;545;133;427;48;971;0;26389400;;;;;;;;;;;
231;Rajasthan;2007;1238;1694;439;2477;28;8170;0;63731600;;;;;;;;;;;
232;Sikkim;2007;24;9;0;13;0;7;0;583000;;;;;;;;;;;
233;Tamil Nadu;2007;523;1097;208;1540;875;1976;0;68250600;;;;;;;;;;;
234;Telangana;2007;;;;;;;;;;;;;;;;;;;
235;Tripura;2007;157;81;36;244;4;545;0;3484000;;;;;;;;;;;
236;Uttar Pradesh;2007;1648;3363;2076;2522;2882;7650;0;186366400;;;;;;;;;;;
237;Uttarakhand;2007;117;227;70;146;63;463;0;9447200;;;;;;;;;;;
238;West Bengal;2007;2106;1590;451;2281;99;9900;5;86836000;;;;;;;;;;;
239;Andaman & Nicobar;2007;3;9;1;21;2;18;0;371000;;;;;;;;;;;
240;Chandigarh;2007;22;46;1;32;11;112;0;993400;;;;;;;;;;;
241;Dadra and Nagar Haveli and Daman and Diu;2007;8;7;1;0;0;6;0;294400;;;;;;;;;;;
242;Delhi;2007;598;1167;138;868;167;1787;0;15613200;;;;;;;;;;;
243;Lakshadweep;2007;1;0;0;2;0;2;0;62800;;;;;;;;;;;
244;Puducherry;2007;9;14;2;89;32;17;0;1138400;;;;;;;;;;;
